Timestamp,AGE,GENDER,CULTURE,RELIGION,ECO1,ECO2,ECO3,ECO4,ECO5,SOC1,SOC2,SOC3,SOC4,SOC5,SOC51,ENV1,ENV2,ENV3,ENV4,ENV5,POL1,POL2,POL3,POL4,POL5,TEC1,TEC2,TEC3,TEC4,TEC5,TEC6,ECO_RANK,SOC_RANK,ENV_RANK,POL_RANK,TEC_RANK
11/8/2022 7:56:55,30 - 60,Female,Chinese,Christianity,3,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$120,001 – $180,000",Yes,"$130,001 - $200,000",7,Several times a month,3,Very good,No,,7,8,4,4,8,Some,10,3,Depends on the View and Circumstance.,I understand why it happens but rarely does it bring about wanted and needed change,5,5,6,"Communication, Entertainment",Always public transport to work and private car otherwise,Yes,2,1,4,3,5
11/8/2022 7:59:54,30 - 60,Female,Australian,Christianity,5,"Doing housework, looking after children or other persons","$0 - $18,200",No,Prefer not to say,9,Several times a week,3,Good,No,,8,7,5,5,8,Some,10,6,Depends on the View and Circumstance.,I support these strikes,6,8,8,"Communication, Entertainment",Private car,Yes,3,5,4,2,1
11/8/2022 8:04:57,30 - 60,Female,South African,Christianity,4,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",Yes,"$130,001 - $200,000",4,Several times a week,7-9,Good,Yes,Religion,7,3,4,3,8,A lot,3,5,No,I support these strikes,3,7,7,"Communication, Share information, Entertainment",Private car,No,4,1,2,3,5
11/8/2022 9:16:13,30 - 60,Female,Australian,Christianity,8,"Doing housework, looking after children or other persons",Prefer not to say,Yes,Prefer not to say,9,Several times a month,7-9,Very good,Yes,"Religion, Age, Gender",9,8,5,6,10,Some,10,6,Depends on the View and Circumstance.,The strikes aren't working to fix the issues but I understand why they're striking.,9,10,10,"Communication, Share information, Entertainment",Private car,Yes,3,1,4,2,5
11/8/2022 9:17:17,30 - 60,Female,Australian,Christianity,7,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$18,201 – $45,000",Yes,"$80,001 - $130,000",7,Several times a month,4-6,Good,No,,7,5,4,3,7,Some,9,3,Depends on the View and Circumstance.,I support the teachers and drivers in their quest but I don’t know if strikes are the answer,5,8,7,"Communication, Share information, Entertainment",Private car,No,1,2,4,3,5
11/8/2022 9:37:35,30 - 60,Male,Chinese,Atheist (Non-Religious),6,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$120,001 – $180,000",Yes,"$200,001 - $500,000",8,Several times a month,2,Very good,Yes,Nationality,7,2,2,6,9,Some,10,7,Maybe,I support these strikes,8,9,9,"Communication, Share information, Entertainment, Work Related Activities",Private car,Yes,1,4,2,5,3
11/8/2022 11:15:27,30 - 60,Male,Australian,Christianity,6,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$180,001 and over",Yes,"$500,001 - $1,000,000",9,Several times a week,3,Good,No,,10,9,3,1,9,Some,10,6,Yes,I support these strikes,8,7,6,I don’t use social media,Private car,Yes,3,1,2,5,4
11/8/2022 13:53:12,30 - 60,Female,Australian,Christianity,7,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",No,"$200,001 - $500,000",8,Several times a week,7-9,Good,No,,7,4,5,5,8,Some,8,6,Maybe,I support these strikes,7,7,8,"Communication, Buying and selling goods",Private car,Yes,3,1,2,5,4
11/8/2022 18:43:28,30 - 60,Female,Australian,Christianity,5,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",No,"$80,001 - $130,000",9,Several times a week,4-6,Good,No,,2,2,3,5,9,Very little,10,5,Depends on the View and Circumstance.,I support these strikes,7,8,5,Share information,Private car,Yes,2,1,4,5,3
11/8/2022 18:44:10,30 - 60,Female,Australian,Christianity,4,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",Yes,"$130,001 - $200,000",7,Several times a month,3,Good,No,,10,6,4,4,7,Some,10,5,Depends on the View and Circumstance.,I support these strikes,8,8,8,"Communication, Share information, Entertainment",Private car,Yes,3,5,2,1,4
11/8/2022 22:25:17,30 - 60,Male,Australian,Christianity,4,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$180,001 and over",Yes,"$200,001 - $500,000",8,Once a week,10 or more,Very good,No,,7,8,6,7,9,A lot,10,4,Yes,Understand why but not sure it achieves the desired outcome,6,5,7,"Communication, Work Related Activities",Private car,Yes,3,1,4,2,5
11/9/2022 11:03:13,30 - 60,Male,Indian,Hindu,7,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",Yes,"$130,001 - $200,000",9,Once a week,10 or more,Good,Yes,"Skin Colour or race, Nationality, Religion, Language, Ethnic group",8,7,7,8,9,A lot,9,8,Depends on the View and Circumstance.,I support these strikes,9,9,8,"Communication, Share information, Entertainment, Work Related Activities",Public transport,Yes,1,2,4,3,5
11/9/2022 17:00:00,30 - 60,Male,Indian,Hindu,8,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",No,"$130,001 - $200,000",6,Once a month,4-6,Fair,Yes,"Skin Colour or race, Nationality, Language, Ethnic group, Age",10,8,3,7,10,Some,10,6,No,I support these strikes,8,9,9,"Communication, Share information, Entertainment, Work Related Activities",Public transport,Yes,3,1,2,4,5
11/10/2022 6:27:04,30 - 60,Female,Australian,Christianity,4,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","$45,001 – $120,000",Yes,"$80,001 - $130,000",8,Several times a week,2,Very good,No,,8,6,3,3,8,Some,10,3,Depends on the View and Circumstance.,I’m not sure what I think,9,9,9,"Communication, Share information, Entertainment, Work Related Activities",Private car,Yes,3,1,4,5,2
